spp_outstanding_amt_old,Reference,Date,Vendor,"Supply Type",Product,"Received Date	","Quantity 1","Quantity 2",Currency,"Landing Cost","Sales Price","Gross Margin","Amount Due",Paid,"Paid (%)",Balance,"Sold (%)	"
0.00,MOND-PSP-10395,01/01/2025,DPRP,"Marine Supply",PMS,--,5000.00,6954102.92,NGN,"5,083.97","6,000.00","4,580,136.99",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10381,31/12/2024,DPRP$,"Gantry Supply",AGO,--,750000.00,842696629.21,USD,702.30,750.00,"35,773,972.60",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10380,31/12/2024,DPRP,"Gantry Supply",PMS,--,60000.00,83449235.05,NGN,"1,756,753.73",800.00,"-105,357,223,812.50",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10379,31/12/2024,DPRP$,"Marine Supply",PMS,--,60000.00,83449235.05,USD,712.10,800.00,"5,273,901.82",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10372,30/12/2024,DPRP$,"Marine Supply",PMS,--,60000.00,83449235.05,USD,728.90,"1,250.00","31,265,935.16",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10371,30/12/2024,DPRP$,"Gantry Supply",PMS,--,500.00,695410.29,USD,512.40,550.00,"18,801.37",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10363,25/12/2024,HARDIKPRD,"Marine Supply",PMS,--,60000.00,83449235.05,USD,700.00,800.00,"6,000,000.00",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10356,24/12/2024,DPRP$,"Marine Supply",PMS,--,5000.00,5000000.00,USD,"1,040.09","1,520.00","2,399,527.40",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10355,24/12/2024,DPRP$,"Marine Supply",PMS,--,1000.00,1000000.00,USD,"1,050.01","2,050.00","999,990.31",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10354,24/12/2024,DPRP,"Marine Supply",PMS,--,20862308.76,15000.00,NGN,895.00,"1,000.00","2,190,542,419.80",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10353,24/12/2024,HARDIKPRD,"Gantry Supply",PMS,--,500.00,695410.29,USD,500.00,550.00,"25,000.00",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10352,24/12/2024,HARDIKPRD,"Gantry Supply",PMS,--,500.00,695410.29,USD,550.00,600.00,"25,000.00",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10346,23/12/2024,DPRP$,"Marine Supply",LPG,--,210.00,367500.00,USD,773.58,"1,000.00","47,547.38",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10337,23/12/2024,"All Nigeria Labour Union","Marine Supply",PMS,--,4000.00,5563282.34,NGN,"150,918.16","3,700.00","-588,872,653.87",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10332,20/12/2024,HARDIKPRD,"Marine Supply",JF,--,60000.00,0.00,USD,"7,000.00","8,000.00","60,000,000.00",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10327,20/12/2024,"All Nigeria Labour Union","Marine Supply",PMS,--,60000.00,83449235.05,NGN,"38,500.00",800.00,"-2,262,000,001.00",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10324,19/12/2024,DPRP$,"Gantry Supply",PMS,--,3000.00,4172461.75,USD,700.00,800.00,"299,998.12",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10323,19/12/2024,"BLOOM INTEGRATED SERVICES LTD.","Marine Supply",PMS,--,3000.00,2.16,NGN,"32,503.40","2,700.00","-89,410,200.00",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10322,19/12/2024,DPRP$,"Marine Supply",PMS,--,6000.00,8344923.50,USD,700.00,850.00,"900,000.00",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10318,17/12/2024,"Freight Charges","Gantry Supply",PMS,--,83449235.05,60000.00,USD,0.50,0.58,"6,000,000.00",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10314,13/12/2024,"NSCON Insurance","Gantry Supply",PMS,--,6000.00,8344923.50,NGN,700.00,800.00,"600,000.00",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10286,27/11/2024,"Dangote Refinery","Gantry Supply",PMS,--,50.00,69541.03,NGN,"1,216.66","1,500.00","14,167.00",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10277,21/11/2024,"Hardik Procurement Vendor",Pipeline,PMS,--,5000.00,6954102.92,NGN,"1,172.55","1,000.00","-862,756.16",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10233,15/11/2024,"Dangote Refinery1","Marine Supply",PMS,--,55632823.37,40000.00,USD,950.02,990.00,"2,224,339,224.83",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10226,13/11/2024,"Dangote Refinery1","Marine Supply",PMS,--,6500.00,9040333.80,USD,518.79,"1,126.00","3,946,835.62",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10218,11/11/2024,"Peter Pandey","Marine Supply",PMS,--,50000.00,69541029.21,USD,504.19,"1,240.00","36,790,681.53",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10202,07/11/2024,"Reliance Petroleum ","Marine Supply",PMS,--,60000.00,83449235.05,USD,677.40,800.00,"7,355,893.28",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10184,30/10/2024,"Shell Petroleum","Marine Supply",PMS,--,50000.00,69541029.21,USD,554.89,"2,100.00","77,255,720.55",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10179,29/10/2024,"Total Oil & Gas","Marine Supply",PMS,--,5000.00,6954102.92,USD,825.02,900.00,"374,910.45",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10145,23/10/2024,"Total Energy","Marine Supply",PMS,--,60000.00,83449235.05,USD,709.97,850.00,"8,401,799.08",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10136,23/10/2024,"Total Energy","Marine Supply",PMS,--,60000.00,83449235.05,USD,728.21,850.00,"7,307,324.38",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10135,23/10/2024,"Peter Pandey","Marine Supply",PMS,--,4700.00,6517385.26,USD,567.67,890.00,"1,510,460.37",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10128,22/10/2024,"Total Energy","Marine Supply",PMS,--,2.00,2781.64,USD,"1,755.60","4,587.00","5,662.80",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10126,22/10/2024,"Total Energy","Marine Supply",PMS,--,10.00,13908.21,USD,"1,462.30","5,800.00","43,377.00",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10124,22/10/2024,"Total Energy","Marine Supply",PMS,--,5000.00,6954102.92,USD,715.07,800.00,"424,643.08",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10107,21/10/2024,"Total Oil & Gas","Marine Supply",PMS,--,60000.00,83449235.05,USD,697.27,850.00,"9,163,648.86",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10103,19/10/2024,"Peter Pandey","Marine Supply",PMS,--,5645.00,7827538.25,USD,413.80,854.00,"2,477,421.29",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10102,19/10/2024,"Total Energy - Lekki","Marine Supply",PMS,--,20000.00,27816411.68,USD,722.26,900.00,"3,554,759.23",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10083,17/10/2024,"Shell Petroleum","Marine Supply",PMS,--,10000.00,13908205.84,USD,719.33,800.00,"806,667.79",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10071,16/10/2024,"Shell Petroleum","Marine Supply",PMS,--,12100.00,16828929.07,USD,530.00,890.00,"4,356,000.00",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10068,16/10/2024,"Bestaf OIL & GAS","Marine Supply",PMS,--,700.00,973574.41,USD,550.00,800.00,"175,000.00",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10067,16/10/2024,"Total Oil & Gas","Marine Supply",PMS,--,10.00,13908.21,NGN,"1,100.00",200.00,"-9,000.00",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10064,15/10/2024,"Total Oil & Gas","Marine Supply",PMS,--,7000.00,9735744.09,USD,742.19,800.00,"404,657.53",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10061,15/10/2024,"Bestaf OIL & GAS","Marine Supply",PMS,--,0.00,277190.54,USD,"3,322.00",800.00,"-502,633.88",0.00,0.00,0.00,0.00,0.00
0.00,MOND-PSP-10057,15/10/2024,,"Gantry Supply",PMS,--,,8342420.03,USD,675.91,800.00,"744,299.59",0.00,0.00,0.00,0.00,0.00
0.00,MOG_DEMO-PSP-10089,14/10/2024,"MRS OIL & GAS","Marine Supply",PMS,--,,3.60,NGN,"1,019.41","1,500.00","2,402,934.52",0.00,0.00,0.00,0.00,0.00
