spp_outstanding_amt_old,Reference,Date,Vendor,"Supply Type",Product,"Received Date	","Quantity 1","Quantity 2",Currency,"Landing Cost","Sales Price","Gross Margin","Amount Due",Paid,"Paid (%)",Balance,"Sold (%)	"
0.00,MOND-TSP-10542,17/03/2025,TE,"Marine Supply",PMS,--,324061.20,233.00,NGN,685.74,890.00,"66,193,683.42","222,220,784.58",0.00,0.00,"221,059,046.58",0.00
0.00,MOND-TSP-10532,05/03/2025,JBP,"Marine Supply",PMS,--,51.00,70931.85,USD,786.24,815.00,"1,466.79","40,098.21",0.00,0.00,"39,780.00",0.00
0.00,MOND-TSP-10531,05/03/2025,JDDUNN,"Marine Supply",NPMS,--,1500.00,200040002.00,NGN,"1,219.73","1,300.00","120,410.96","1,829,589.04",0.00,0.00,"1,800,000.00",0.00
0.00,MOND-PSP-10518,25/02/2025,DPRP,"Marine Supply",PMS,--,3230876.22,2323.00,NGN,"409,520.80",860.00,"-1,320,332,460,766.18","1,323,111,014,315.38",0.00,0.00,"3,242,507,374.39",0.00
0.00,MOND-PSP-10517,20/02/2025,TE,"Marine Supply",PMS,--,3230876.22,2323.00,NGN,766.87,860.00,"300,906,569.86","2,477,646,979.34",0.00,0.00,"2,430,110,517.87",0.00
0.00,MOND-PSP-10516,12/02/2025,DPRP,"Marine Supply",PMS,--,6951000.00,4997.77,NGN,954.10,"1,110.00","1,083,694,811.00","6,631,915,189.00",0.00,0.00,"6,615,932,320.54",0.00
0.00,MOND-PSP-10512,11/02/2025,"Jio British Petroleum","Marine Supply",PMS,--,1500.00,2086230.88,USD,250.00,"400,000.00","599,625,000.00","375,000.00",0.00,0.00,"375,000.00",0.00
0.00,MOND-PSP-10506,07/02/2025,DPRP,"Marine Supply",PMS,--,6954102.92,5000.00,NGN,"2,775.00","1,200.00","-10,952,712,099.00","19,297,635,603.00",0.00,0.00,"7,622,044,505.47",0.00
0.00,MOND-PSP-10505,06/02/2025,HARDIKPRD,"Marine Supply",PMS,--,3300.00,4589707.93,USD,77.00,95.00,"59,400.00","254,100.00",0.00,0.00,"254,100.00",0.00
0.00,MOND-PSP-10482,24/01/2025,DPRP,"Marine Supply",PMS,--,99999750.00,71899.82,NGN,868.11,910.00,"4,188,498,945.95","86,811,273,554.05",0.00,0.00,"85,519,411,149.91",0.00
0.00,MOND-PSP-10480,22/01/2025,DPRP,"Marine Supply",PMS,--,99999750.00,71899.82,NGN,868.11,910.00,"4,188,498,945.95","86,811,273,554.05",0.00,0.00,"85,519,411,149.91",0.00
0.00,MOND-PSP-10472,22/01/2025,"Motorola Org","Marine Supply",NPMS,--,60000.00,83449235.05,NGN,705.85,800.00,"5,648,732.88","42,351,267.12",0.00,0.00,"42,060,000.00",0.00
0.00,MOND-PSP-10471,22/01/2025,"Motorola Org","Marine Supply",NPMS,--,60000.00,83449235.05,NGN,714.14,800.00,"5,151,456.16","42,848,543.84",0.00,0.00,"42,840,000.00",0.00
0.00,MOND-PSP-10469,22/01/2025,"Motorola Org","Marine Supply",NPMS,--,60000.00,83449235.05,NGN,709.49,800.00,"5,430,410.96","42,569,589.04",0.00,0.00,"42,000,000.00",0.00
0.00,MOND-PSP-10465,21/01/2025,"Shell Petroleum","Marine Supply",NPMS,--,60000.00,83449235.05,USD,700.01,800.00,"5,999,533.33","42,000,466.67",0.00,0.00,"42,000,466.67",0.00
0.00,MOND-PSP-10461,21/01/2025,"Freight Charges","Marine Supply",NPMS,--,60000.00,83449235.05,USD,712.01,800.00,"5,279,553.19","42,720,446.81",0.00,0.00,"42,720,446.81",0.00
0.00,MOND-PSP-10458,20/01/2025,DPRP,"Marine Supply",PMS950,--,3500.00,8753801.81,NGN,"653,181.26","987,451.00","1,169,944,095.95","2,286,134,404.05",0.00,0.00,"2,282,420,000.00",0.00
0.00,MOND-PSP-10457,20/01/2025,DPRP,"Marine Supply",PMS950,--,3500.00,8753801.81,NGN,"851,383.29","950,000.00","345,158,493.15","2,979,841,506.85",0.00,0.00,"2,975,000,000.00",0.00
0.00,MOND-PSP-10453,16/01/2025,"NSCON Insurance","Marine Supply",PMS,--,4500.00,6258692.63,NGN,"4,566.58","5,000.00","1,950,410.96","20,549,589.04",0.00,0.00,"20,250,000.00",0.00
0.00,MOND-PSP-10452,16/01/2025,"Total Gas & Petroleum","Marine Supply",NPMS,--,5000.00,6954102.92,NGN,"5,073.97","6,000.00","4,630,136.99","25,369,863.01",0.00,0.00,"25,000,000.00",0.00
0.00,MOND-PSP-10448,15/01/2025,DPRP$,"Marine Supply",LPG,--,2323.00,4065250.00,USD,777.68,878.00,"233,046.69","1,806,547.31",0.00,0.00,"1,806,547.31",0.00
0.00,MOND-PSP-10447,15/01/2025,DPRP$,"Marine Supply",PMS,--,1210.00,1682892.91,USD,761.24,840.00,"95,303.27","921,096.73",0.00,0.00,"911,349.16",0.00
0.00,MOND-PSP-10446,15/01/2025,DPRP$,"Marine Supply",LPG,--,2323.00,4065250.00,USD,777.68,878.00,"233,046.69","1,806,547.31",0.00,0.00,"1,795,662.39",0.00
0.00,MOND-PSP-10445,15/01/2025,SATRPC,"Marine Supply",NPMS,--,1312.00,1824756.61,USD,681.23,810.00,"168,947.22","893,772.78",0.00,0.00,"887,541.23",0.00
0.00,MOND-PSP-10437,15/01/2025,"BLOOM INTEGRATED SERVICES LTD.","Marine Supply",NPMS,--,19471488.18,14000.00,NGN,889.10,935.00,"893,702,446.61","17,312,139,001.69",0.00,0.00,"17,312,139,001.69",0.00
0.00,MOND-PSP-10433,10/01/2025,"Shell Petroleum","Marine Supply",NPMS,--,6000.00,8344923.50,USD,"5,703.42","6,500.00","4,779,452.05","34,220,547.95",0.00,0.00,"33,000,000.00",0.00
0.00,MOND-PSP-10432,10/01/2025,"Jio British Petroleum","Marine Supply",NPMS,--,5000.00,3.60,USD,507.40,"6,000.00","27,463,013.70","2,536,986.30",0.00,0.00,"2,500,000.00",0.00
0.00,MOND-PSP-10428,10/01/2025,DPRP$,"Marine Supply",PMS950,--,1120.00,2801216.58,USD,50.47,60.00,"10,675.29","56,524.71",0.00,0.00,"56,000.00",0.00
0.00,MOND-PSP-10427,10/01/2025,"Shell Petroleum","Marine Supply",NPMS,--,5000.00,6954102.92,USD,"5,193.97","6,000.00","4,030,136.99","25,969,863.01",0.00,0.00,"25,600,000.00",0.00
0.00,MOND-PSP-10423,09/01/2025,DPRP$,"Marine Supply",PMS,--,10000.00,13908205.84,USD,5.04,10.00,"49,609.59","50,390.41",0.00,0.00,"50,000.00",0.00
0.00,MOND-PSP-10420,09/01/2025,DPRP,"Marine Supply",PMS,--,2120.00,2948539.64,NGN,50.16,60.00,"20,851.51","106,348.49",0.00,0.00,"106,000.00",0.00
0.00,MOND-PSP-10419,09/01/2025,DPRP,"Marine Supply",NPMS,--,4500.00,6258692.63,NGN,"636,033.40","854,125.00","981,412,212.33","2,862,150,287.67",0.00,0.00,"2,857,500,000.00",0.00
0.00,MOND-PSP-10418,09/01/2025,DPRP,"Marine Supply",PMS,--,4500.00,6258692.63,NGN,"636,033.40","854,125.00","981,412,212.33","2,862,150,287.67",0.00,0.00,"2,857,500,000.00",0.00
0.00,MOND-PSP-10417,09/01/2025,DPRP,"Marine Supply",JETA1,--,3000.00,4347826.09,NGN,"953,092.05","990,000.00","110,723,835.62","2,859,276,164.38",0.00,0.00,"2,850,000,000.00",0.00
0.00,MOND-PSP-10408,07/01/2025,DPRP$,"Marine Supply",PMS,--,10000.00,13908205.84,USD,"5,041.10",50.00,"-49,910,958.90","50,410,958.90",0.00,0.00,"50,000,000.00",0.00
0.00,MOND-PSP-10404,06/01/2025,DPRP$,"Marine Supply",PMS,--,8000.00,11126564.67,USD,152.51,180.00,"219,917.16","1,220,082.84",0.00,0.00,"1,208,247.22",0.00
0.00,MOND-PSP-10396,01/01/2025,DPRP$,"Marine Supply",PMS,--,40000.00,28.76,USD,"1,000.00","3,000.00","79,999,900.00","40,000,100.00",0.00,0.00,"40,000,100.00",0.00
0.00,MOND-PSP-10393,01/01/2025,"All Nigeria Labour Union","Marine Supply",PMS,--,60000.00,83449235.05,NGN,"25,359.25",800.00,"-1,473,555,035.05","1,521,555,035.05",0.00,0.00,"127,995,035.05",0.00
0.00,MOND-PSP-10388,31/12/2024,HARDIKPRD,"Marine Supply",PMS,--,60000.00,83449235.05,USD,714.00,800.00,"5,159,746.99","42,840,253.01",0.00,0.00,"42,840,253.01",0.00
0.00,MOND-PSP-10387,31/12/2024,DPRP$,"Marine Supply",PMS950,--,4500.00,11254888.04,USD,960.42,"1,300.00","1,528,091.87","4,321,908.13",0.00,0.00,"4,279,743.75",0.00
0.00,MOND-PSP-10382,31/12/2024,"All Nigeria Labour Union","Marine Supply",PMS,--,99999750.00,71899.82,NGN,930.06,940.00,"994,249,225.00","93,005,515,775.00",0.00,0.00,"93,005,515,775.00",0.00
0.00,MOND-PSP-10364,26/12/2024,DPRP$,"Marine Supply",PMS,--,60000.00,83449235.05,USD,751.41,800.00,"2,915,431.09","45,084,568.91",0.00,0.00,"44,566,760.69",0.00
0.00,MOND-PSP-10361,25/12/2024,DPRP,"Marine Supply",PMS,--,20000.00,27816411.68,NGN,"1,269,259.41","1,300,416.70","623,145,739.97","25,385,188,260.03",0.00,0.00,"24,756,836,150.00",0.00
0.00,MOND-PSP-10357,24/12/2024,DPRP$,"Marine Supply",PMS,--,1000.00,1000000.00,USD,"1,061.00","2,000.00","938,996.77","1,061,003.23",0.00,0.00,"1,061,003.23",0.00
0.00,MOND-PSP-10343,23/12/2024,DPRP$,"Marine Supply",PMS,--,1500.00,2086230.88,USD,"1,500.00","2,500.00","1,500,000.00","2,250,000.00",0.00,0.00,"2,250,000.00",0.00
0.00,MOND-PSP-10333,20/12/2024,DPRP$,"Marine Supply",PMS,--,1500.00,2086230.88,USD,"15,064.80","20,000.00","7,402,797.95","22,597,202.05",0.00,0.00,"22,501,500.00",0.00
0.00,MOND-PSP-10321,18/12/2024,DPRP$,"Marine Supply",PMS,--,5000.00,6954102.92,USD,814.00,850.00,"179,988.89","4,070,011.11",0.00,0.00,"4,070,011.11",0.00
0.00,MOND-PSP-10299,02/12/2024,"Hailey Allen","Gantry Supply",PMS,02/12/2024,5000.00,6954102.92,NGN,855.00,"1,520.00","3,325,000.00","4,275,000.00",0.00,0.00,"4,275,000.00",0.00
0.00,MOND-PSP-10297,02/12/2024,"Total Oil & Gas",Pipeline,PMS,02/12/2024,32400.00,45062586.93,USD,399.33,"1,210.00","26,265,792.33","12,938,207.67",0.00,0.00,"12,798,000.00",0.00
0.00,MOND-PSP-10295,02/12/2024,"KVH Supplier","Marine Supply",PMS,--,2000.00,2781641.17,NGN,"900,002.00","1,500,000.00","1,199,996,000.00","1,800,004,000.00",0.00,0.00,"1,800,004,000.00",0.00
0.00,MOND-PSP-10294,28/11/2024,"KVH Supplier","Marine Supply",PMS,--,3000.00,4172461.75,NGN,115.00,105.00,"-30,000.00","345,000.00",0.00,0.00,"315,000.00",0.00
0.00,MOND-PSP-10293,28/11/2024,"KVH Supplier","Gantry Supply",PMS,28/11/2024,3500.00,4867872.04,NGN,350.00,"550,000.00","1,923,775,000.00","1,225,000.00",0.00,0.00,"525,000.00",0.00
0.00,MOND-PSP-10284,25/11/2024,"Total Oil & Gas","Marine Supply",PMS,--,14000.00,19471488.18,USD,551.79,"1,212.00","9,242,968.77","7,725,031.23",0.00,0.00,"7,602,000.00",0.00
0.00,MOND-PSP-10283,25/11/2024,"KVH Supplier","Gantry Supply",PMS,25/11/2024,1500.00,2086230.88,NGN,370.00,"400,000.00","599,445,000.00","555,000.00",0.00,0.00,"375,000.00",0.00
0.00,MOND-PSP-10281,25/11/2024,"MRS OIL NIGERIA",Pipeline,PMS,25/11/2024,1500.00,2086230.88,NGN,360.00,890.00,"795,000.00","540,000.00",0.00,0.00,"540,000.00",0.00
0.00,MOND-PSP-10280,22/11/2024,"KVH Supplier",Pipeline,AGO,22/11/2024,2000.00,1.78,NGN,175.00,"550,000.00","1,099,650,000.00","350,000.00",0.00,0.00,"50,000.00",0.00
0.00,MOND-PSP-10278,21/11/2024,"KVH Supplier","Gantry Supply",PMS,21/11/2024,2500.00,3477051.46,NGN,"1,400.00","6,000,000.00","14,996,500,000.00","3,500,000.00",0.00,0.00,"500,000.00",0.00
0.00,MOND-PSP-10274,21/11/2024,"KVH Supplier","Gantry Supply",PMS,21/11/2024,3100.00,2.23,NGN,1.01,20.00,"58,856.43","3,143.57",0.00,0.00,"3,100.00",0.00
0.00,MOND-PSP-10272,21/11/2024,"KVH Supplier","Gantry Supply",PMS,--,2100.00,1.51,NGN,50.37,60.00,"20,214.66","105,785.34",0.00,0.00,"105,000.00",0.00
0.00,MOND-PSP-10271,21/11/2024,"KVH Supplier","Marine Supply",PMS,--,10000.00,7.19,NGN,102.50,50.00,"-525,000.00","1,025,000.00",0.00,0.00,"500,000.00",0.00
0.00,MOND-PSP-10270,21/11/2024,"KVH Supplier","Marine Supply",PMS,--,500.00,695410.29,NGN,"1,350.00","80,000.00","39,325,000.00","675,000.00",0.00,0.00,"75,000.00",0.00
0.00,MOND-PSP-10269,21/11/2024,"KVH Supplier","Marine Supply",PMS,--,10000.00,7.19,NGN,102.50,50.00,"-525,000.00","1,025,000.00",0.00,0.00,"500,000.00",0.00
0.00,MOND-PSP-10268,21/11/2024,"KVH Supplier","Marine Supply",PMS,--,1500.00,2086230.88,NGN,"376,450.00","350,000.00","-39,675,000.00","564,675,000.00",0.00,0.00,"300,000.00",0.00
0.00,MOND-PSP-10266,20/11/2024,NMDPRA,"Marine Supply",PMS,--,1500.00,2086230.88,NGN,"2,305.90","2,100.00","-308,845.62","3,458,845.62",0.00,0.00,"3,000,000.00",0.00
0.00,MOND-PSP-10259,19/11/2024,"KVH Supplier","Gantry Supply",PMS,19/11/2024,10000.00,7.19,NGN,552.50,500.00,"-525,000.00","5,525,000.00",0.00,0.00,"5,001,264.69",0.00
0.00,MOND-PSP-10258,19/11/2024,"KVH Supplier","Gantry Supply",PMS,19/11/2024,1500.00,1.08,NGN,"1,000.00",600.00,"-600,000.00","1,500,000.00",0.00,0.00,"750,000.00",0.00
0.00,MOND-PSP-10257,19/11/2024,"KVH Supplier","Gantry Supply",PMS,19/11/2024,10000.00,13908205.84,NGN,650.00,"5,500,000.00","54,993,500,000.00","6,500,000.00",0.00,0.00,"5,000,000.00",0.00
0.00,MOND-PSP-10256,19/11/2024,"KVH Supplier","Gantry Supply",PMS,--,500.00,695410.29,NGN,750.00,"150,000.00","74,625,000.00","375,000.00",0.00,0.00,"125,000.00",0.00
0.00,MOND-PSP-10255,19/11/2024,"KVH Supplier","Gantry Supply",PMS,19/11/2024,10000.00,7.19,NGN,102.50,50.00,"-525,000.00","1,025,000.00",0.00,0.00,"501,264.69",0.00
0.00,MOND-PSP-10253,19/11/2024,"KVH Supplier","Marine Supply",PMS,--,500.00,695410.29,NGN,311.25,"80,000.00","39,844,375.00","155,625.00",0.00,0.00,"75,000.00",0.00
0.00,MOND-PSP-10251,18/11/2024,"KVH Supplier","Gantry Supply",PMS,--,350.00,486787.20,NGN,"2,000.00","180,000.00","62,300,000.00","700,000.00",0.00,0.00,"175,000.00",0.00
0.00,MOND-PSP-10247,18/11/2024,"KVH Supplier",Pipeline,PMS,18/11/2024,10000.00,7.19,NGN,100.00,500.00,"4,000,000.00","1,000,000.00",0.00,0.00,"501,204.47",0.00
0.00,MOND-PSP-10243,18/11/2024,"KVH Supplier","Gantry Supply",PMS,18/11/2024,6954102.92,5000.00,NGN,"50,200.00","2,000.00","-335,187,760,744.00","349,095,966,584.00",0.00,0.00,"347,708,496,407.15",0.00
0.00,MOND-PSP-10238,15/11/2024,Nimasa,"Marine Supply",PMS,--,5000.00,6954102.92,NGN,"1,340.00","11,500.00","50,800,000.00","6,700,000.00",0.00,0.00,"6,001,686.26",0.00
0.00,MOND-PSP-10237,15/11/2024,NMDPRA,"Marine Supply",PMS,--,5000.00,6954102.92,NGN,"1,650.00","15,000.00","66,750,000.00","8,250,000.00",0.00,0.00,"7,501,806.71",0.00
0.00,MOND-PSP-10232,15/11/2024,"Dangote Refinery1","Marine Supply",PMS,--,55632823.37,40000.00,USD,950.02,990.00,"2,224,339,224.83","52,852,155,911.47",0.00,0.00,"52,852,155,911.47",0.00
0.00,MOND-PSP-10230,15/11/2024,"KVH Supplier","Gantry Supply",PMS,--,60000.00,43.14,NGN,500.00,300.00,"-12,000,043.14","30,000,043.14",0.00,0.00,"30,000,000.00",0.00
0.00,MOND-PSP-10229,15/11/2024,"KVH Supplier","Gantry Supply",PMS,--,500.00,695410.29,NGN,"1,050.00","300,000.00","149,475,000.00","525,000.00",0.00,0.00,"275,000.00",0.00
0.00,MOND-PSP-10228,15/11/2024,"KVH Supplier","Marine Supply",PMS,--,250.00,347705.15,NGN,"2,112.50","15,000,000.00","3,749,471,875.00","528,125.00",0.00,0.00,"125,000.00",0.00
0.00,MOND-PSP-10227,14/11/2024,"KVH Supplier","Marine Supply",PMS,--,10000.00,7.19,NGN,"5,500.00",50.00,"-54,500,000.00","55,000,000.00",0.00,0.00,"5,120,447.14",0.00
0.00,MOND-PSP-10216,11/11/2024,"Peter Pandey","Marine Supply",PMS,--,50000.00,69541029.21,USD,504.19,"1,240.00","36,790,681.53","25,209,318.47",0.00,0.00,"24,805,047.33",0.00
0.00,MOND-PSP-10215,11/11/2024,"KVH Supplier","Marine Supply",PMS,--,500.00,0.36,NGN,800.00,"50,000.00","24,600,000.00","400,000.00",0.00,0.00,"150,602.24",0.00
0.00,MOND-PSP-10214,11/11/2024,"NARAYA Oil & Gas","Marine Supply",PMS,--,5600.00,7788595.27,USD,"1,978.22",970.00,"-5,646,042.78","11,078,042.78",0.00,0.00,"11,078,042.78",0.00
0.00,MOND-PSP-10213,11/11/2024,"KVH Supplier",Pipeline,PMS,--,3330.00,4631432.55,NGN,55.76,66.00,"34,110.06","185,669.94",0.00,0.00,"183,150.00",0.00
0.00,MOND-PSP-10212,11/11/2024,"KVH Supplier","Gantry Supply",PMS,--,2101.00,1.51,NGN,40.44,55.00,"30,596.32","84,958.68",0.00,0.00,"84,040.00",0.00
0.00,MOND-PSP-10210,09/11/2024,"Total Energy - India","Marine Supply",PMS,--,60000.00,83449235.05,USD,670.26,800.00,"7,784,383.56","40,215,616.44",0.00,0.00,"39,900,000.00",0.00
0.00,MOND-PSP-10209,08/11/2024,"Total Oil & Gas","Gantry Supply",PMS,--,50000.00,69541029.21,USD,600.08,900.00,"14,995,831.84","30,004,168.16",0.00,0.00,"29,538,633.91",0.00
0.00,MOND-PSP-10208,08/11/2024,"Total Oil & Gas","Gantry Supply",PMS,--,5000.00,6954102.92,USD,600.86,700.00,"495,711.76","3,004,288.24",0.00,0.00,"2,955,795.09",0.00
0.00,MOND-PSP-10205,07/11/2024,"KVH Supplier","Marine Supply",PMS,--,3210.00,2.31,NGN,150.00,60.00,"-288,900.00","481,500.00",0.00,0.00,"385,431.98",0.00
0.00,MOND-PSP-10204,07/11/2024,"KVH Supplier","Marine Supply",PMS950,--,2520.00,1.01,NGN,130.00,50.00,"-201,600.00","327,600.00",0.00,0.00,"252,182.12",0.00
0.00,MOND-PSP-10200,06/11/2024,"KVH Supplier","Marine Supply",PMS,--,7676.00,10675938.80,NGN,192.00,180.00,"-92,112.00","1,473,792.00",0.00,0.00,"1,381,901.89",0.00
0.00,MOND-PSP-10194,05/11/2024,"KVH Supplier","Gantry Supply",PMS,--,10000.00,7.19,NGN,"2,500.00",500.00,"-20,000,000.00","25,000,000.00",0.00,0.00,"20,012,044.71",0.00
0.00,MOND-PSP-10185,30/10/2024,"Peter Pandey","Marine Supply",PMS,--,56400.00,78442280.95,USD,579.01,"1,190.00","34,459,893.32","32,656,106.68",0.00,0.00,"32,656,106.68",0.00
0.00,MOND-PSP-10183,30/10/2024,"Peter Pandey","Marine Supply",PMS,--,56400.00,78442280.95,USD,0.00,"1,190.00",0.00,0.00,0.00,0.00,0.00,
0.00,MOND-PSP-10178,29/10/2024,"Shell Petroleum","Marine Supply",PMS,--,50000.00,69541029.21,USD,528.46,"2,100.00","78,576,876.71","26,423,123.29",0.00,0.00,"26,000,000.00",0.00
0.00,MOND-PSP-10177,29/10/2024,"Peter Pandey","Marine Supply",PMS,--,50000.00,69541029.21,USD,536.51,"1,210.00","33,674,359.64","26,825,640.36",0.00,0.00,"26,401,703.37",0.00
0.00,MOND-PSP-10176,29/10/2024,"KVH Supplier","Marine Supply",PMS,--,7000.00,9735744.09,NGN,115.00,180.00,"455,000.00","805,000.00",0.00,0.00,"490,758.82",0.00
0.00,MOND-PSP-10162,25/10/2024,"Total Energy - Lekki","Gantry Supply",PMS,--,63421410.00,45599.99,NGN,537.31,"1,180.00","40,760,305,992.90","34,076,737,332.40",0.00,0.00,"32,380,348,075.38",0.00
0.00,MOND-PSP-10156,25/10/2024,"KVH Supplier",Pipeline,PMS,--,7000.00,5.03,NGN,0.98,1.00,144.65,"7,060.36",0.00,0.00,"7,000.15",0.00
0.00,MOND-PSP-10154,25/10/2024,"KVH Supplier",Pipeline,PMS,--,8000.00,5.75,NGN,0.57,789.00,"8,772,517,382.77","6,312,057.50",0.00,0.00,"6,312,000.14",0.00
0.00,MOND-PSP-10153,25/10/2024,"KVH Supplier","Marine Supply",PMS,--,3333.00,4635605.01,NGN,154.00,789.00,"2,116,455.00","513,282.00",0.00,0.00,"513,282.00",0.00
0.00,MOND-PSP-10152,25/10/2024,"KVH Supplier","Marine Supply",PMS,--,25000.00,34770514.60,NGN,"1,000,001.00",0.00,0.00,"25,000,025,000.00",0.00,0.00,"24,999,975,000.00",0.00
0.00,MOND-PSP-10151,24/10/2024,"KVH Supplier","Gantry Supply",PMS,--,16000.00,11.50,NGN,601.21,0.00,"-9,616,017.27","9,616,000.00",0.00,0.00,"9,600,000.00",0.00
0.00,MOND-PSP-10150,24/10/2024,"Total Energy","Marine Supply",PMS,--,5000.00,6954102.92,USD,491.28,800.00,"1,413,937.60","2,250,083.33",0.00,0.00,"2,250,083.33",0.00
